cust_id,first_name,last_name,address,city,state,zip,amount_paid
CUST-10130,Cynthia,Reed,,Miami,FL,33104,51.73
CUST-10738,Charles,,1325 Summit Dr,Bakersfield,CA,93302,585.73
CUST-11782,Stephanie,turner,Rm 184,Louisville,KY,40203,0
CUST-10415,Cynthia,Wright,Pine Rd,Fort Worth,,76101,1161.63
CUST-10627,Cynthia  ,Green,8781 Valley Rd,Portland,OR,97201,1061.74
CUST-11477,Lisa,Green,,,,21204,$1041.91
CUST-11619,Ashley,Adams  ,7534 Brook Ln,El Paso,TX,79902,
CUST-10927,Kathleen,Anderson,6270 Church St,Indianapolis,IN,46201,1471.75
CUST-11731,Stephen,Thomas,1724 Highland Ave,Boston,,02101,820.09
CUST-11510,Emma,,,Minneapolis,MN,55404,0
CUST-10945,rebecca,MITCHELL,4582 Meadow Ln,Boston,MA,,416.59
CUST-10245,Christine,Thomas,6930 Grove Ave,Portland,OR,97203,
CUST-10768,Jennifer,Johnson,5385 Valley Rd,,TX,75202,pending
CUST-10932,Paul,White,8176 Grove Ave,Baltimore,,21202,0
CUST-10003,Nicholas,Cox,Apt 62,Los Angeles,,90005,
CUST-10045,Michael,Cooper,3873 Pine Rd,New York,NY,10001,1353.87
CUST-11753,Helen,Mitchell,# 977,Chicago,IL,60601,666.75
CUST-10254,Shirley,Ramirez,7433 Forest Dr,Memphis,TN,38103,1143.99
CUST-11611,Lisa,Young,,Mesa,,85204,116.4
CUST-10319,John,,6339 Valley Rd,Tucson,AZ,85701,345.85
CUST-11427,Donna,Reyes,Ste 826,Fresno,CA,93704,737.16
CUST-11547,rebecca,Smith  ,5593 Hill St,,CA,94104,1298040.16
CUST-11730,CHRISTINE,Rodriguez,8086 Sunrise Ave,New Orleans,LA,70113,
CUST-11442,Stephen,Roberts,2000 Woodland Rd,,,37203,$849.5
,Frank,Flores,7033 Church St,Aurora,CO,80011,-1441.56
CUST-10017,Larry,Green,6483 Church St,Columbus,,43203,
CUST-10719,Kevin,Collins,Suite 262,Indianapolis,IN,46202,41.39
CUST-10120,Melissa,Perez,1877 Ridge Rd,Raleigh,NC,27605,58143.74
CUST-10643,,Turner,4083 Church St,Fort Worth,TX,76105,1025.48
CUST-10918,stephanie,Rivera,6643 Spring St,Minneapolis,MN,55404,261.49
CUST-10355,Michelle,Lewis,,Washington,DC,20005,$958.92
