customer_id,first_name,last_name,email,phone,address,city,state,zip,signup_date,last_purchase,total_spend,plan,active
1810852,Charles,Nguyen,charles_nguyen@me.com,437.940.1847,8459 Maple Dr8459 Maple Dr,Houston,AL,20094,2016,2023-04-23,234.2,Ultimate,False
85871297,Thomas,Carter,thomascarter@aol.com ,141.469.9752,3482 Hill Rd,Milwaukee,AZ,53060,2023-12-14,2023-11-19,266210.0,Standard,False
40573519,Joseph,Rivera,joseph-rivera594ATlive.com,941.990.2977,2816 Sunset Blvd,New York,FL,32836,2016-07-19,null,5102.89,Professional,False
7578516,n/a,Martin,annamartin@msn.com,+11220221830,250 Main St,Memphis,IA,5OO71,2020-11-17,2026-03-28,2048.62,Starter,True
NULL,NaN,Perez,nancy.perez@msn.com ,277.827.7420,303 Forest Ln,Atlanta,FL,97802,01/25/2019,2024-11-11,7689.57,Ultimate,False
6181622,Patricia,Smith,patricia_smith946@protonmail.com,470.861.9630,6844 West Rd,Raleigh,N/A,8OO93,2016-02-13,2024-06-15,6530.81,Free Plan,False
6010014,Sandra,Lee,sandra_lee804@gmail.com,087.603.3899,9638 Lake Dr,NULL,SD,90954,0000-00-00,2024-01-27,4925.66,Free,True
n/a,Susan,HILL,susan_hill@protonmail.com,846.820.3116,3216 Church St,Albuquerque,MN,65702,,2026-11-16,7846.91,Premium,True
NaN,Karen,Campbell,karencampbell499@msn.com,676-463-6935,79 Maple Dr,Charlotte,IN,38914,2017-08-20,2026-12-26,9440.22,Premium,True
9403316,Laura,Rivera,laura_rivera781@me.com,941-201-6039,2760 Washington Blvd,Los Angeles,NM,81231,2016-05-04,2023-06-15,212.27,Ultimate,False
78753947,  Emma  ,King,emmaking108@livecom,622-889-5971,3338 West Rd,Charlotte,PA,689,2017-09-08,NULL,1036.52$,NaN,False
04856321,null,Green,william-green982@gmail.com,(852) 054-0419,N/A,Phoenix,FL,18126,1900-01-01,2026-11-14,662.57,Basic,True
246669,null,Young,scottyoung@hotmail,N/A,2598 River Rd,San Francisco,N/A,,2099-01-01,09/09/2025,4770.77,Basic,False
47005179,Edward,Moore,edwardmoore@msn.com,729.945.1409,4172 Sunset Blvd,Philadelphia,CT,86352XX,2023-04-02,2026-08-12,8003.43,Premium,False
4854,Dorothy,Roberts,dorothy-roberts566@icloud.com,+17915044815,8302 Cedar Ln,Louisville,MS,,82-70-7102,NULL,5987580.0,Premium,True
45134650,N/A,Robinson Robinson,karenrobinson575@yahoo.com,+12932360613,6806 Main St,Denver,OK,74324,2018-07-18,NULL,9488.44,Standard,True
667799,Larry,NULL,larry.young942@aol.com,+16158154640,,Portland,WY,56275XX,2020-02-02,2025-05-26,5953.63,Standard,False
664761,Michelle,Flores,michelle.flores@aol.com,912-533-9655,,Kansas City,SC,650721,2019-01-23,n/a,4449.73,Enterprise,False
526474,Jonathan,J. Jackson,jonathanjackson@protonmail.com,(317X 336-0980,4974 West Rd,San Francisco,VA,26894,2017-07-06,32/13/2022,133.58,Ultimate,false
1500865,Jacob,L. Lee,jacob-lee@gmail.com,,8209 Sunset Blvd,Colorado Springs,KY,68803,null,NULL,5362.98,Enterprise,False
981292,Emily,King,emilyking931@yahoo.com,555-555-5555,8295 Valley Dr,Omaha,WV,59244,2016-03-07,2024-09-16,6099.72,N/A,True
56872039,Kevin,Martin,kevin-martin22protonmail.com,N/A,4276 Forest Ln,Louisville,SD,48767,,2023-04-03,6007.43,Enterprise,True
7630927,Amanda,Clark,amanda.clark354@gmail.com,744-053-8114,4059 Oak Ave,Houston,,8784,2017-11-05,2024-02-03,4744.13,Standard,False
0573154,Donald,Clark,donald_clark@protonmail.com,424.534.2763,7417 Cedar Ln,Indianapolis,DE,554387,2024-09-09,2024,7229.11,Ultimate,True
8563414,Ashley,Mitchell,ashley_mitchell685@aol.com,747-583-2793,6578 South St,Dallas,WA,94037,2024-06-02,2026-02-09,8515880.0,STARTER,True
57571512,Donald Donald,Green,donaldgreen889ATprotonmail.com,555-555-5555,1113 ,Los Angeles,IL,24350-9164,2017-02-25,2026-02-10,2651.68,Enterprise,True
90656938,Flores,Donald,donald.flores5@aol.com,787.974.2624,1643 South St,Columbus,N/A,NaN,2018-04-25,2023-06-08,N/A,Enterprise,False
79786530,David,null,david_taylor353@icloud.com,+17240711841,4099 Sunset Blvd,San Antonio,FL,21386,2020-08-12,2025-12-24,7626.14,Premium,False
50469912,Sandra,Adams,sandraadams@gmail.com,962-094-7434,2304 South St2304 South St,Albuquerque,IL,10569,n/a,2023-01-27T00:00:00Z,9491.73,Basic,False
46373484,Michael,Flores,michael_flores334@yahoo.com,28154516649,1345 Church St,San Antonio,AK,64965,2016-12-24,2025-11-13,NULL,Standard,True
854565,Samantha,Sanchez,,198.872.8096,9177 Spring St,New York,NV,94012,2015-06-14,2025-05-04,6803.33,Free,False
820861,Scott,Jones,scott.jones@live.com,231-955-2099,7895 Sunset Blvd,Portland,ky,37588,2024-10-19,2024-03-27,,Professional,True
  02353886  ,  null  ,  Rivera  ,  timothy.rivera594@yahoo.com  ,  +16585570388  ,  6649 Pine Rd  ,  Louisville  ,  WA  ,  22738  ,  2015-04-04  ,  2024-04-01  ,  5094.29  ,  BASIC  ,  True  
82728487,null,Nguyen,n/a,(019) 117-8864,8058 CEDAR LN,Albuquerque,HI,17498,2019-03-20,2026-06-04,null,Ultimate,True
8334605,Emily,Garcia,emily-garcia380@icloud.com,+11042851606,9663 Park Ave,  Omaha,AR,60738,2023-07-18,2025-10-08,4765.244765.24,Standard Plan,False
7953331,Donna,Smith,donna.smith340@msn.com,(181) 535-8214,3795 Washington Blvd,San Jose,WY,31108,24/09/2023,2026-11-17,9302.61,PROFESSIONAL,False
4932595,Helen,R@mirez,helenramirez@aolcom,494.769.3455,2450 River Rd,Columbus,hi,77528,2018-07-19,2023-01-28,6260.13,Basic,True
739985,Steven,null,invalid-email,058.725.0191,N/A,Denver,IA,33137,2016-02-23,2025-03-09,3503.75,Unknown,False
98975302,Nicholas,Johnson,NaN,791-427-2962,4889 Oak Ave,Columbus,NM,,0000-00-00,32/13/2022,1202.03,Standard,
62354198,Thomas,King,thomasking697@hotmail.com,16168753919,3535 North Ave,Denver,VA,59375,2015-06-05,2023-12-26,2254.59,Basic,True
687749,Melissa,Jones,melissa_jones818@hotmail.com,+13138489521,3833 East Blvd,Omaha,MA,34285,2018-09-22,2022-09-06,7951.37,Enterprise,False
309568,,Thompson,jeffreythompson@,(409) 566-7051,6293 Forest Ln,Jacksonville,UT,96229,2020-01-18,2022-06-19,$3302.36,Basic,False
7063182,Donald,gonzalez,donald-gonzalez691@icloud.com,+11426100297,349 FOREST LN,,NM,98049,2018-07-02,,7886.96,Standard,True
443739,yrogerG,Young,gregory-young@me.com ,384-349-3976,8116 Oak Ave,Dallas,NC,87356,2020-02-28,2025-02-17,9104.86,Basic,True
